k	chi
0	0.0
1	0.9989115622480932
2	0.9989115622480932
4	0.9872262218157186
8	0.9524799773298138
16	0.9402112554633895
32	0.8793302812601129
64	0.8104008297403272
128	0.783653693679519
256	0.7278383415432433
512	0.5251366074625027
1024	0.503421575577432
2048	0.35070651603582526
4096	0.24125774525872568
8192	0.10242033545307412
16384	0.08245762513665379
32768	0.0854773795809659
65536	0.06354067662893856
131072	0.03977807794984756
262144	0.03213867656535311
524288	0.017064441612325343
1048576	0.027103448753825254
2097152	0.023266260450663805
4194304	0.013739502750364696
