k	chi
0	0.0
1	0.9089576412620503
2	0.8358427641346563
4	0.6559545295383945
8	0.5015830515073023
16	0.28406138871234377
32	0.1991695924121439
64	0.13588811282480073
128	0.08655247762048854
256	0.08815785394069613
512	0.08465441933557157
1024	0.06572094112735088
2048	0.045650872383347404
4096	0.017146200112204846
8192	0.01358686094568823
16384	0.009173087798601291
32768	0.007062870801141376
65536	0.005061496521731894
131072	0.006828588773804745
262144	0.004577240068840083
524288	0.0032625154484108654
1048576	0.002408650960291007
2097152	0.0014242555739792696
4194304	0.000837505618685422
