k	chi
0	0.0
1	0.8977814236509587
2	0.7956870729447733
4	0.6686587171187045
8	0.5239411444663425
16	0.4734272270155701
32	0.18225493011748986
64	0.1740168773303557
128	0.1610780661616291
256	0.08046815939544313
512	0.07763242876938058
1024	0.03374374707449889
2048	0.03134582623981746
4096	0.02490320475583417
8192	0.01617824548438857
16384	0.01360156272751789
32768	0.01152395784276689
65536	0.004972919685427953
131072	0.00484935598751239
262144	0.004539237162987115
524288	0.002991147482274541
1048576	0.002406311674787199
2097152	0.0013338279459705127
4194304	0.0010711404278821953
