k	chi
0	0.0
1	0.8596563881403531
2	0.7527449911383663
4	0.6878124008906177
8	0.5882064680929697
16	0.4531661263974484
32	0.3531475742392347
64	0.2992777813157698
128	0.2310043793242383
256	0.1761650553489785
512	0.12013684163691524
1024	0.15651065632862113
2048	0.11750888006260825
4096	0.07988111211137268
8192	0.08327199689175371
16384	0.08041601716893289
32768	0.08084411420357406
65536	0.08054250037286674
131072	0.08251079022295524
262144	0.08669309886285034
524288	0.08707120775491722
1048576	0.08706425005020868
2097152	0.08746617207257092
4194304	0.08779129488842538
