k	chi
0	0.0
1	0.9734197501043589
2	0.9679094919365202
4	0.9675257170215581
8	0.8541503593314771
16	0.6499928399134247
32	0.5902141502082805
64	0.3139664825856829
128	0.46653613906851615
256	0.2904876392407456
512	0.1604224446724999
1024	0.10607180504564215
2048	0.045899136179473596
4096	0.07009676791433296
8192	0.04349340241347497
16384	0.01813959460162939
32768	0.013873428624801386
65536	0.013205820589533093
131072	0.00829825885544198
262144	0.006563648276710141
524288	0.003722773743746396
1048576	0.0037607566091710943
2097152	0.0019189548787285203
4194304	0.0022754963317184115
