k	chi
0	0.0
1	0.8519717614044641
2	0.8519717614044641
4	0.6347709555384502
8	0.5553300540113963
16	0.491608486816904
32	0.46200194428908503
64	0.2218367966176635
128	0.3081889293345998
256	0.17191908884628648
512	0.17438979292600684
1024	0.08308758570186293
2048	0.0686678287046568
4096	0.07092266587163147
8192	0.03659579135052479
16384	0.023772492553895845
32768	0.011870481426795164
65536	0.011256319334664453
131072	0.013720521761413706
262144	0.007268383049475894
524288	0.00642364542735476
1048576	0.0026331098977251844
2097152	0.0009054798236398568
4194304	0.00159605511846443
