k	chi
0	0.0
1	0.8878160214786854
2	0.765014428223735
4	0.6507003768482547
8	0.4064770027373463
16	0.3387383887615813
32	0.16616973880580196
64	0.2856018141810279
128	0.22076155591466853
256	0.2488196879581859
512	0.15353506349891244
1024	0.08139959382224977
2048	0.06023732041169364
4096	0.036186354602267115
8192	0.02483830716648083
16384	0.013136709672153262
32768	0.014854404200580991
65536	0.010688817883289297
131072	0.005253795694950329
262144	0.003875671169160907
524288	0.0027040544966977055
1048576	0.0018800793451168086
2097152	0.0019554696164314446
4194304	0.0011683874593608264
