k	chi
0	0.0
1	0.8801554896114469
2	0.7993463557478775
4	0.742560307252276
8	0.7664467363611798
16	0.6276089991034897
32	0.5666415641791973
64	0.3936805991756727
128	0.1510385480795985
256	0.22842913458492559
512	0.13433897774821527
1024	0.08044406384402442
2048	0.061174619896832705
4096	0.07033724516558638
8192	0.02575512478068765
16384	0.03127090964412215
32768	0.013000620245725424
65536	0.013176014998564536
131072	0.009833532693099573
262144	0.010539669852720078
524288	0.007266720769701887
1048576	0.004095958013119033
2097152	0.0032741862933645394
4194304	0.0014249909498366762
