k	chi
0	0.0
1	0.9956589641637175
2	0.992807891990006
4	0.9904638976432398
8	0.9894546256214253
16	0.9849450620736595
32	0.9820114880714268
64	0.8937878494260845
128	0.6342295883521539
256	0.502017551380244
512	0.38341454790672247
1024	0.24327277203175007
2048	0.17085774738589735
4096	0.13249637724912028
8192	0.1079405803937336
16384	0.07473390769300654
32768	0.053008062590373654
65536	0.043925964076855464
131072	0.032965640570826474
262144	0.020856197046692507
524288	0.016660697220027946
1048576	0.01139359686079434
2097152	0.006051705038050312
4194304	0.006032774860012298
