k	chi
0	0.0
1	0.8519717614044641
2	0.7255227341234542
4	0.6345153469444346
8	0.5453823660153967
16	0.45566777814243614
32	0.37469968797767533
64	0.3116260764759255
128	0.27702395354922565
256	0.18843442038237807
512	0.1578122663185624
1024	0.1076624907990394
2048	0.08244400628308116
4096	0.04737517864190251
8192	0.01820354874761519
16384	0.027318024625342812
32768	0.019178730901999477
65536	0.008787831841911125
131072	0.005969102840294347
262144	0.007199552657454037
524288	0.004313485953945563
1048576	0.0020172186687164415
2097152	0.002700085567776537
4194304	0.00207756602128227
