k	chi
0	0.0
1	0.9008963622769913
2	0.9008963622769913
4	0.810974367170518
8	0.7510481572181562
16	0.6895552421367618
32	0.38756053356582726
64	0.2304119298544737
128	0.2678327175094131
256	0.12836235213563402
512	0.08292972265896534
1024	0.05496916157346741
2048	0.049095542303289566
4096	0.041607713306578836
8192	0.0389701700911616
16384	0.02625591995445521
32768	0.016116325125929563
65536	0.012005350262123671
131072	0.0073652370145549425
262144	0.0037702165057016115
524288	0.0026621909045581506
1048576	0.0020631693968399148
2097152	0.001209565267048498
4194304	0.0005872942298698973
