k	chi
0	0.0
1	0.9998554622752637
2	0.9938174933096384
4	0.9690435461903403
8	0.9682026101722936
16	0.8111222348595059
32	0.6450190001501606
64	0.35232208229225564
128	0.19020751570175362
256	0.1591778768681615
512	0.11114002105737628
1024	0.09896788362965078
2048	0.0819266757631333
4096	0.09061208170686245
8192	0.09180270290311246
16384	0.09100744360115369
32768	0.0897575617517548
65536	0.08976870409796144
131072	0.08809040831589302
262144	0.08921804865784469
524288	0.08857379640298674
1048576	0.08637490703889787
2097152	0.0871457957436334
4194304	0.08773307930214329
