k	chi
0	0.0
1	0.8900345075421113
2	0.7820667689715096
4	0.7052301421504397
8	0.6450977819932971
16	0.4766733033462898
32	0.44019441259964087
64	0.28924056041510143
128	0.2245913233484379
256	0.31106271453738926
512	0.19358362910007812
1024	0.08386147683048163
2048	0.06228011481523368
4096	0.03912764423909257
8192	0.034560091881553213
16384	0.026238631754332973
32768	0.014608046610621414
65536	0.004334240872458713
131072	0.005223506935588404
262144	0.003854147625533089
524288	0.0025922595118282052
1048576	0.0018401340791589374
2097152	0.001450906567799845
4194304	0.0016843211984718196
