k	chi
0	0.0
1	0.8519717614044641
2	0.8519717614044641
4	0.6347709555384502
8	0.5553300540113963
16	0.491608486816904
32	0.46200194428908503
64	0.19584201401957166
128	0.14565987395317462
256	0.1637432590081007
512	0.14778137833547958
1024	0.08731383655577932
2048	0.08978674528731723
4096	0.08789692165725148
8192	0.0790946723070004
16384	0.08252726940810778
32768	0.0872104719227013
65536	0.08995323236755602
131072	0.09181829820841951
262144	0.08901098563671477
524288	0.08884095130118927
1048576	0.08871326065587973
2097152	0.0878304111434997
4194304	0.08766369250731912
