k	chi
0	0.0
1	0.9872385070152118
2	0.9730879581236391
4	0.9596344699309017
8	0.9163593562017516
16	0.8439706079138738
32	0.8211384886816563
64	0.7832205757370789
128	0.7057615602346209
256	0.4524149663439433
512	0.4738875590740637
1024	0.19914409388704418
2048	0.1506175141265802
4096	0.19393328668601031
8192	0.10416030958857336
16384	0.07116023384487309
32768	0.10665083557204438
65536	0.058374150964296184
131072	0.04357639409954971
262144	0.01628422283794997
524288	0.00997335502752658
1048576	0.011398954643835895
2097152	0.01007566120344678
4194304	0.008003775768324683
