k	chi
0	0.0
1	0.9985991299893278
2	0.8927042001556135
4	0.7066432085893766
8	0.6917757620835114
16	0.6947070775400658
32	0.34099429884021615
64	0.37524269290097045
128	0.20568448431562414
256	0.27528613621168274
512	0.1573930732276162
1024	0.15013325982874343
2048	0.089300514660083
4096	0.05081847585736676
8192	0.02452405625597474
16384	0.013555113064258878
32768	0.009172445682537226
65536	0.011401563015500176
131072	0.012658637120961528
262144	0.0075780265491783945
524288	0.004688776125017278
1048576	0.002826238725908473
2097152	0.0014353817823038613
4194304	0.0013787748380225616
