k	chi
0	0.0
1	0.9009463374018839
2	0.8505462317219199
4	0.8501994429722419
8	0.5464126961457757
16	0.4141063242228436
32	0.27218474962825157
64	0.19778365196784653
128	0.12186327700033184
256	0.09817033222028967
512	0.058995088198619025
1024	0.04468901714468432
2048	0.04010268305826169
4096	0.02754828290078222
8192	0.02580084702820686
16384	0.026089734801982956
32768	0.020384558605732867
65536	0.010148629764173219
131072	0.0062919423848289985
262144	0.0036329722908604537
524288	0.0037967311959713054
1048576	0.001806233346403979
2097152	0.0014636528416215604
4194304	0.001062175784215628
