k	chi
0	0.0
1	0.9734197501043589
2	0.9188280237284481
4	0.9188280237284481
8	0.8077558920396988
16	0.5964529353899992
32	0.36175655033424486
64	0.24984822259125
128	0.2135273690796516
256	0.16085684616510582
512	0.08564162826215077
1024	0.09003171443609578
2048	0.03943557659075452
4096	0.036808453827445665
8192	0.020234345139756325
16384	0.013202493913285117
32768	0.008276687100641219
65536	0.00770470924806621
131072	0.004858228879906207
262144	0.002820065996401712
524288	0.0032703466543324788
1048576	0.0015111473277034336
2097152	0.0007311340857998955
4194304	0.0007139087167614177
