k	chi
0	0.0
1	0.9014200202077205
2	0.8167748623415708
4	0.7337020888049596
8	0.7427679957354807
16	0.5428343075246284
32	0.41349366422352707
64	0.28064530420117734
128	0.17021087736085197
256	0.13340855822579653
512	0.10959127772776583
1024	0.0989317642925543
2048	0.059928248822710486
4096	0.022589510433013615
8192	0.015935160557229183
16384	0.016946059395318073
32768	0.01576332155269042
65536	0.0064076694444835346
131072	0.004251152610362644
262144	0.0041610343327299956
524288	0.0027370600660666443
1048576	0.0014956401727551467
2097152	0.0011355080587368287
4194304	0.0004506104706360535
