k	chi
0	0.0
1	0.9025727801106068
2	0.7770927166063812
4	0.6824992639212243
8	0.5997193617612885
16	0.36233519275258635
32	0.3199040189961752
64	0.2211336785838599
128	0.24403274024454477
256	0.11561209531503605
512	0.08337233708384952
1024	0.048001978309864676
2048	0.04756589949057841
4096	0.02950693637862566
8192	0.02947639671485263
16384	0.012321229374488152
32768	0.008119647036996703
65536	0.008470309931060203
131072	0.005683019431343306
262144	0.002503163856532085
524288	0.002222089149480641
1048576	0.001983299558472474
2097152	0.001636413257944789
4194304	0.00119181207561187
