k	chi
0	0.0
1	0.9894476076247183
2	0.9724929105997681
4	0.9724929105997681
8	0.9566887694419047
16	0.9504606381776375
32	0.8798461454175206
64	0.7917375563828533
128	0.6998138746951585
256	0.7015061957227348
512	0.7042423150547173
1024	0.6766972890328622
2048	0.5503658615488961
4096	0.24387770039634915
8192	0.2597369721750884
16384	0.12239883048069167
32768	0.07992795609154912
65536	0.0495541300082563
131072	0.03021276277944452
262144	0.03466080304104921
524288	0.016471029339055098
1048576	0.01742835614554243
2097152	0.01606951754508696
4194304	0.010341823867426879
