k	chi
0	0.0
1	0.9997465073630527
2	0.9904034993784886
4	0.9801591931404452
8	0.9507227035928911
16	0.9276058738087299
32	0.9200683734269884
64	0.8444353074151291
128	0.7769158079247271
256	0.7765023892366538
512	0.7589684963541594
1024	0.758092821800826
2048	0.6247736726541709
4096	0.3294370841673172
8192	0.22737238387569259
16384	0.13288657587965028
32768	0.10458951641357768
65536	0.06445680769022209
131072	0.039768364129578106
262144	0.019129705811817912
524288	0.03396338906905132
1048576	0.02265326235880862
2097152	0.014256564554694278
4194304	0.013774156361846075
