k	chi
0	0.0
1	0.8842757528034535
2	0.7873801865428782
4	0.7873801865428782
8	0.78897821465297
16	0.5775041226303502
32	0.41428103381932596
64	0.3540276004157435
128	0.19496086068445667
256	0.07672532553879181
512	0.07078002113007073
1024	0.047281508889046836
2048	0.043187907300951234
4096	0.047729129559427846
8192	0.045218909448395087
16384	0.014032298409698976
32768	0.006555441337894209
65536	0.009196555588870378
131072	0.00583561073666443
262144	0.002930873269676121
524288	0.003896211136974111
1048576	0.0029046533818888423
2097152	0.002530710641004843
4194304	0.002093193452600487
