k	chi
0	0.0
1	0.8614087371667507
2	0.8614087371667507
4	0.7556008684073859
8	0.5122030784627201
16	0.2111715446513625
32	0.14439028533142
64	0.23422882172318882
128	0.14700174018891152
256	0.07562140617033046
512	0.09841101599915957
1024	0.060289165929029984
2048	0.05985789327854853
4096	0.021265145303235797
8192	0.014114786104102646
16384	0.009493464180041478
32768	0.008026818237990962
65536	0.008316839871876312
131072	0.00566657572638355
262144	0.0025873472984894647
524288	0.0022916360773233865
1048576	0.0027469260580250286
2097152	0.0012926231168236529
4194304	0.0009115432247994394
