k	chi
0	0.0
1	0.8519717614044641
2	0.7255227341234542
4	0.6345153469444346
8	0.5453823660153967
16	0.45566777814243614
32	0.37469968797767533
64	0.33631388438464416
128	0.30874662510318
256	0.23484477265070539
512	0.1925335021024843
1024	0.13705256428186818
2048	0.11431918261598134
4096	0.11665194217930747
8192	0.09171707700248563
16384	0.10160861539900468
32768	0.08419182937830144
65536	0.08714437238775041
131072	0.09047669227998265
262144	0.08908461317947831
524288	0.0881344658519952
1048576	0.0873292636679697
2097152	0.08768419106819501
4194304	0.08796594824029501
