k	chi
0	0.0
1	0.9880469986096306
2	0.974026512329507
4	0.974169745571891
8	0.9584136277218016
16	0.9390598076811176
32	0.8996272621139593
64	0.8471862999586418
128	0.810661172419824
256	0.7348832894427062
512	0.6463300810338412
1024	0.6166715812514981
2048	0.5875140798598038
4096	0.41232230007051196
8192	0.34866717196060504
16384	0.2975718098823051
32768	0.16133634501491487
65536	0.14994094005956576
131072	0.04034438406496672
262144	0.03290496804284816
524288	0.03259444958092517
1048576	0.023841437311400926
2097152	0.020870748709660263
4194304	0.01373278650447986
