k	chi
0	0.0
1	0.8801554896114469
2	0.7993463557478775
4	0.742560307252276
8	0.7664467363611798
16	0.6276089991034897
32	0.5666415641791973
64	0.3936805991756727
128	0.17363819740946873
256	0.17904032727424798
512	0.1003742418314337
1024	0.10671941618135161
2048	0.11360510018871929
4096	0.11474843397325178
8192	0.10139648296335388
16384	0.10060034220308323
32768	0.08872394710639402
65536	0.08762147383321461
131072	0.08586572861755062
262144	0.08753520318650046
524288	0.0886054372005812
1048576	0.08900548764673737
2097152	0.08846811898728357
4194304	0.08820070683980594
