k	chi
0	0.0
1	0.8889430014062527
2	0.786189060288368
4	0.7229384147192529
8	0.584983407111577
16	0.49452715389425767
32	0.3069430206027048
64	0.20310712372580766
128	0.17978780635804945
256	0.05511307814168402
512	0.06306159759478477
1024	0.0418577190291589
2048	0.04319746494347486
4096	0.02503060254968873
8192	0.013389667642981336
16384	0.017326884063568176
32768	0.017029280363482818
65536	0.006188789653903592
131072	0.004424272723999057
262144	0.002808448496728213
524288	0.001565899400685807
1048576	0.0012996861456376794
2097152	0.0013901080701367858
4194304	0.0008164243121174883
