k	chi
0	0.0
1	0.9929685342912121
2	0.976481817470601
4	0.9503976933703046
8	0.9399299043625117
16	0.9054158679257168
32	0.8255681034924474
64	0.7673378533328118
128	0.7634655959572137
256	0.6637370846833844
512	0.5986062109447209
1024	0.6252508562864078
2048	0.5713630495958619
4096	0.27477149865919615
8192	0.13797058219372046
16384	0.20845266822768743
32768	0.13294315154208164
65536	0.09119163520660274
131072	0.06014185045767124
262144	0.03506289647455886
524288	0.013534259415490845
1048576	0.010829055087765651
2097152	0.008204328360286
4194304	0.005042155686687437
