k	chi
0	0.0
1	0.9429766444817197
2	0.8207839513422727
4	0.701788509480118
8	0.6926468331487237
16	0.6449746457192335
32	0.5119492004839594
64	0.3137479731801228
128	0.25681349412826826
256	0.18990576464088058
512	0.10302510233345004
1024	0.062111699355865996
2048	0.06349111112625772
4096	0.028375200610719443
8192	0.01824426228694739
16384	0.013606634193893971
32768	0.017406245490613814
65536	0.01125632303773247
131072	0.0063985166494122435
262144	0.004954961822386813
524288	0.004055747713343375
1048576	0.0016306401001071511
2097152	0.0013681784815989502
4194304	0.001617173187167218
