k	chi
0	0.0
1	0.9927013233363249
2	0.9751138827740208
4	0.9498702492029527
8	0.9354547689871318
16	0.9078710706506531
32	0.852463493066604
64	0.7809229988701667
128	0.7155389327294118
256	0.6447520264706144
512	0.6014219631133884
1024	0.5733928735529549
2048	0.24609004456278177
4096	0.23202658148053792
8192	0.1715616009392803
16384	0.09601192157229592
32768	0.05537517795853902
65536	0.05320622532079011
131072	0.03392445778312249
262144	0.030153068988239395
524288	0.021398736722913928
1048576	0.010974190038507302
2097152	0.010391106714536844
4194304	0.006997668045796064
