k	chi
0	0.0
1	0.9998554622752637
2	0.9938174933096384
4	0.9678342005500692
8	0.7818713554326807
16	0.7617294321396907
32	0.760580812147269
64	0.43701096578023585
128	0.24979364413167832
256	0.11980562053601396
512	0.1106482487565429
1024	0.08953705154601944
2048	0.096603210288823
4096	0.08122584005341554
8192	0.09168149977769734
16384	0.08671887600181628
32768	0.08519696067939468
65536	0.08338607932563356
131072	0.08218349825021291
262144	0.08372752627116183
524288	0.08547570551242548
1048576	0.0878643241772424
2097152	0.08852538889305547
4194304	0.08864563905058978
