k	chi
0	0.0
1	0.8519717614044641
2	0.8519717614044641
4	0.7261775471377871
8	0.5228757859233151
16	0.33243263441351917
32	0.2517432094927937
64	0.1678918606243738
128	0.14364282933146125
256	0.09853092276255641
512	0.0675003671689794
1024	0.028242047153527135
2048	0.049464260752532026
4096	0.029097162831940478
8192	0.022256872829013515
16384	0.013639397827405982
32768	0.004146046913646404
65536	0.00784656475887711
131072	0.005694541810822282
262144	0.0048767138303723555
524288	0.0032266549315570965
1048576	0.002831564342348886
2097152	0.001079936992910539
4194304	0.0009523898956282767
