k	chi
0	0.0
1	0.885939504206775
2	0.7998884136156079
4	0.663180977569089
8	0.616514900656548
16	0.44775497612712484
32	0.3208684157482266
64	0.28119249653602685
128	0.17614146965577246
256	0.15475473663588227
512	0.09066780382266235
1024	0.04907794626269365
2048	0.036995638060154386
4096	0.018301638510088442
8192	0.016140851968146724
16384	0.012839980925116673
32768	0.008894911979317383
65536	0.007502224133376438
131072	0.004240694959962883
262144	0.002064925330874734
524288	0.0021649549542414387
1048576	0.0020348582486015634
2097152	0.0011397589452521919
4194304	0.0005727565505509928
