k	chi
0	0.0
1	0.9939177269120715
2	0.870210930626124
4	0.8591831153045024
8	0.7189940848900962
16	0.5295837543289077
32	0.43882231369505076
64	0.4075115003112685
128	0.30208231399678415
256	0.28020890715483077
512	0.18827642784149334
1024	0.12770843886336786
2048	0.10338503792036403
4096	0.07136005755550373
8192	0.06002625031658162
16384	0.03402542765317908
32768	0.036389979969693856
65536	0.015899884095579832
131072	0.0073911075913473965
262144	0.005158212824162255
524288	0.0024780544794616964
1048576	0.002362962240211714
2097152	0.0021915673613066376
4194304	0.0008541753775765364
