k	chi
0	0.0
1	0.8596563881403531
2	0.7266631321972821
4	0.5088349415898675
8	0.37184336702311915
16	0.4469426002607069
32	0.4307742871273191
64	0.4056216371733147
128	0.25250711645980906
256	0.12463762744446553
512	0.1024864073292276
1024	0.0701046264882097
2048	0.05169878745601527
4096	0.03152939017628178
8192	0.01900857871862864
16384	0.01831082880290459
32768	0.012649970682210734
65536	0.009302327142948402
131072	0.005528997848034868
262144	0.0036131767657836124
524288	0.0021698547056315408
1048576	0.0014178103629457464
2097152	0.0012482028522803753
4194304	0.0012357384906036242
