k	chi
0	0.0
1	0.8362229359438342
2	0.7439479768661172
4	0.7439479768661172
8	0.7466053856553792
16	0.5995701574488612
32	0.4068119105810969
64	0.32511817468961707
128	0.24241403485522336
256	0.15459116441302348
512	0.11113583532955212
1024	0.06981680469996587
2048	0.07749616242516885
4096	0.0478120427280941
8192	0.03728411297151266
16384	0.031061576041175022
32768	0.014094310319436403
65536	0.01351060789954563
131072	0.011249705215617672
262144	0.005681143787261556
524288	0.0035815070064792822
1048576	0.0011227111530418105
2097152	0.0012923987161813331
4194304	0.0011134299546617778
