k	chi
0	0.0
1	0.9090481641810019
2	0.8110054204089842
4	0.6912732487536636
8	0.6155682485819152
16	0.6166289616893061
32	0.3686486240143381
64	0.24934067815392
128	0.204203468218248
256	0.052698825000846654
512	0.06382868643965697
1024	0.06101254439465371
2048	0.04713875079006833
4096	0.028102426156093534
8192	0.009968897810053562
16384	0.010778802329525052
32768	0.01031776674777386
65536	0.006468476653735862
131072	0.00605751657594277
262144	0.0031222763760292917
524288	0.0032481699474408354
1048576	0.0016743010078513528
2097152	0.001058999747834475
4194304	0.0006225292201068801
