k	chi
0	0.0
1	0.9998554622752637
2	0.9938174933096384
4	0.9690435461903403
8	0.9180579792845618
16	0.6500460783806461
32	0.4920362036660059
64	0.43913750131423485
128	0.47034509365365584
256	0.258732304163182
512	0.207914393345841
1024	0.1832699820022173
2048	0.0634029567575247
4096	0.034955017721898136
8192	0.03428974999624358
16384	0.03005504690718761
32768	0.014425296445836603
65536	0.009537716028509318
131072	0.008221575922442263
262144	0.008549852594059708
524288	0.0025353787462927715
1048576	0.002432163436671815
2097152	0.0024726269028271315
4194304	0.0020734143564366827
