k	chi
0	0.0
1	0.9939891429577703
2	0.9875771908541378
4	0.9875771908541378
8	0.9750535309752559
16	0.9524786252300369
32	0.9040210888849262
64	0.7418902385931005
128	0.5494846524934054
256	0.4689571692270543
512	0.3145593400845364
1024	0.2783248906295356
2048	0.2777012400542844
4096	0.17393699680223995
8192	0.1044276914743807
16384	0.07518357898373519
32768	0.05662275448620248
65536	0.03255737920334905
131072	0.026601239267004587
262144	0.022337477650916163
524288	0.01593765132702945
1048576	0.013546910752235493
2097152	0.009591049628281003
4194304	0.008898914896137453
