k	chi
0	0.0
1	0.9988471838205984
2	0.9974585216119687
4	0.9927254721112592
8	0.9918382510008156
16	0.9817339853440673
32	0.97155381007628
64	0.9514237600257476
128	0.8454437725160121
256	0.5540162167429061
512	0.3028414551665692
1024	0.3006632467972581
2048	0.12351736834865998
4096	0.12951939570859575
8192	0.08970594709497418
16384	0.06760663911924174
32768	0.06750484271158247
65536	0.03610020288068013
131072	0.027519193457667394
262144	0.01702872444524894
524288	0.015163516973474461
1048576	0.01005293635524325
2097152	0.010335320499305758
4194304	0.007027381994996732
