k	chi
0	0.0
1	0.9998554622752637
2	0.9171566882962306
4	0.6927880296493328
8	0.6640288151866199
16	0.6127665885607418
32	0.5110783763726459
64	0.259319738177104
128	0.19111164819216578
256	0.13898200852748638
512	0.0998435291556182
1024	0.07669093008026065
2048	0.05963222667084481
4096	0.042812262351517284
8192	0.030940865889509568
16384	0.019856561210554558
32768	0.013753436508306054
65536	0.00900991621361701
131072	0.004737875669490924
262144	0.002291823439132302
524288	0.0027716194378588762
1048576	0.0020049921728530215
2097152	0.0017314647888142525
4194304	0.0009312453500800056
