k	chi
0	0.0
1	0.9894447229212443
2	0.9808161508516661
4	0.9719207960724718
8	0.9614445368477974
16	0.935705404999798
32	0.8686124586952629
64	0.7083491279501625
128	0.614409340307385
256	0.3365623807308246
512	0.32824118421985826
1024	0.2258327410620712
2048	0.15724359149142117
4096	0.19518919315123667
8192	0.1411677254021611
16384	0.16755121422429478
32768	0.06830842403771385
65536	0.05864337275762948
131072	0.03747293310585902
262144	0.024032367759317646
524288	0.02531931033127397
1048576	0.016895720502127988
2097152	0.012152336611564228
4194304	0.006617338997642723
