k	chi
0	0.0
1	0.9876590263151198
2	0.9772103325632961
4	0.9637174384640146
8	0.9096564463758562
16	0.8514059137350621
32	0.7464428450440201
64	0.6707195796894768
128	0.6098157151973794
256	0.4146698204956617
512	0.325315765477683
1024	0.24413330306651196
2048	0.19071104655520596
4096	0.2147131798822644
8192	0.11044261984838882
16384	0.15446747956376258
32768	0.06175043702273689
65536	0.05695796935304855
131072	0.03481497064485938
262144	0.02321877270987723
524288	0.014937602270793514
1048576	0.007156903360437379
2097152	0.006958011060159592
4194304	0.005172211967663535
