k	chi
0	0.0
1	0.9998554622752637
2	0.9938174933096384
4	0.993793135526356
8	0.7869898864956224
16	0.5840803478086828
32	0.44001964151933354
64	0.3284622380202527
128	0.25097115635423456
256	0.15946185245166425
512	0.12283654470006901
1024	0.09187166976479616
2048	0.050562294030701005
4096	0.03675497382648102
8192	0.0302634470956624
16384	0.0192867657623318
32768	0.010971965863878094
65536	0.00442352213337116
131072	0.0040487313311927805
262144	0.005215531420996409
524288	0.0029994280857758245
1048576	0.0018196860166106881
2097152	0.0013200219384913168
4194304	0.0006866675752681624
