k	chi
0	0.0
1	0.941050905933711
2	0.8587133761513095
4	0.6730933443759202
8	0.6875312342853942
16	0.5992388379429474
32	0.3830207947869042
64	0.35931135416052346
128	0.2413828500348974
256	0.09361621008110436
512	0.09034305765190823
1024	0.058608475667184266
2048	0.02265196513158893
4096	0.027426408601237854
8192	0.02489837918988684
16384	0.01724775022563376
32768	0.015038916275290666
65536	0.00952418025395099
131072	0.0072349419035519945
262144	0.005987532881285064
524288	0.0044599192628820596
1048576	0.0027825136642830933
2097152	0.00164130604739596
4194304	0.0010921696850364128
