k	chi
0	0.0
1	0.9998554622752637
2	0.9998554622752637
4	0.9691173795605462
8	0.9690435461903403
16	0.5994977688458082
32	0.43305142135671104
64	0.25831479537253815
128	0.24178431466628103
256	0.12017977918833447
512	0.09256787872116921
1024	0.09834874553944434
2048	0.10649807078376321
4096	0.07549957733029324
8192	0.030285193798030848
16384	0.014364823722391893
32768	0.01055731606481387
65536	0.009479515107048017
131072	0.00606700138669584
262144	0.00592263290146644
524288	0.0036586423965320556
1048576	0.00275752327832908
2097152	0.0037454547858860915
4194304	0.0014256830898426377
