k	chi
0	0.0
1	0.8596563881403531
2	0.7527449911383663
4	0.6878124008906177
8	0.5882064680929697
16	0.4531661263974484
32	0.3531475742392347
64	0.2992777813157698
128	0.14239194550315531
256	0.13865058742771402
512	0.06914825845649178
1024	0.08439517039971045
2048	0.055662497836307834
4096	0.06837333695977524
8192	0.05687570989080492
16384	0.026944989100192766
32768	0.017782420940896045
65536	0.01469115969665675
131072	0.008119179208329505
262144	0.008942290317514808
524288	0.004047376247568802
1048576	0.002824941047255578
2097152	0.0016930612034215156
4194304	0.0011782032835105372
