k	chi
0	0.0
1	0.9808487637674551
2	0.9808487637674551
4	0.9668683919497814
8	0.9550521922292802
16	0.90393458014843
32	0.9075633839510728
64	0.9107676054738788
128	0.8405439874191116
256	0.8097758507467285
512	0.7319089776591376
1024	0.5969077068751711
2048	0.5508342915019497
4096	0.5578520855714049
8192	0.46423484049425273
16384	0.33005590452446054
32768	0.18398465698159858
65536	0.13350797494785155
131072	0.0501226884578473
262144	0.02813450638573692
524288	0.021914038120197776
1048576	0.019297066813595283
2097152	0.01957730468924094
4194304	0.00854882792502569
