k	chi
0	0.0
1	0.9076945346574775
2	0.8241103917066113
4	0.7523752379229256
8	0.613151529213709
16	0.5030089614489244
32	0.327808392658523
64	0.2037129850723653
128	0.1656438577400098
256	0.08545262702194113
512	0.06523384821209774
1024	0.051120872368838596
2048	0.05193262082971857
4096	0.03228738340590546
8192	0.021178672402662177
16384	0.025297237876988562
32768	0.013946504973309227
65536	0.010008819155373671
131072	0.007488997566752844
262144	0.003444068807607229
524288	0.002370588175260093
1048576	0.0016365086425831484
2097152	0.00132906771601355
4194304	0.0008131808886903639
