k	chi
0	0.0
1	0.9837609276353438
2	0.9689651455685234
4	0.9431946246020224
8	0.9099609597940705
16	0.8660466920038377
32	0.8483149665429534
64	0.8473237391917147
128	0.6730551899942737
256	0.48494515832149687
512	0.5450845087330944
1024	0.30022964184740847
2048	0.2111583022727718
4096	0.17085713235399727
8192	0.17744261019114868
16384	0.09301803626289155
32768	0.04977239795522037
65536	0.03867006618567145
131072	0.031073429151281556
262144	0.025583655539650207
524288	0.016483410434603888
1048576	0.009308504887278093
2097152	0.009620114355941647
4194304	0.0034969329399126975
