k	chi
0	0.0
1	0.9302959973757564
2	0.9302959973757564
4	0.9302959973757564
8	0.712626166085774
16	0.6667142717409561
32	0.4778049502113517
64	0.372471917799515
128	0.249128657132501
256	0.20553982817316477
512	0.13273003885670293
1024	0.060072914923288985
2048	0.0523940560015555
4096	0.031809946674645845
8192	0.025661367530362522
16384	0.017635673587512515
32768	0.007134184699392784
65536	0.005325419710062422
131072	0.006270765647170704
262144	0.004126897599064878
524288	0.0029066833432405646
1048576	0.0017315285714242091
2097152	0.0013643158706337275
4194304	0.0009078382245342605
