k	chi
0	0.0
1	0.9998554622752637
2	0.9938174933096384
4	0.9678342005500692
8	0.9257768163589738
16	0.8555344935735927
32	0.6896728834244639
64	0.38517973231239994
128	0.2205178677494832
256	0.1583712094661756
512	0.0909778857900303
1024	0.1134894065331697
2048	0.09132132302490771
4096	0.039945121580082954
8192	0.02175654504653216
16384	0.01923560502697142
32768	0.01673099101878026
65536	0.015312443915198369
131072	0.012799582879256147
262144	0.003906951917859901
524288	0.002563608227331304
1048576	0.0027804958877810796
2097152	0.001352691979351998
4194304	0.0008079959531028334
