k	chi
0	0.0
1	0.9200546844736646
2	0.813794048729895
4	0.813794048729895
8	0.6170395554206077
16	0.5295436777736343
32	0.4240187146116907
64	0.2609981507105767
128	0.1589306886093334
256	0.14891277092908892
512	0.054434292450872813
1024	0.03468710303072198
2048	0.01904189523218567
4096	0.04035436295878187
8192	0.02610370897070149
16384	0.007932316824803626
32768	0.012628021253825401
65536	0.010867726003216234
131072	0.007638835518476156
262144	0.006709654890837998
524288	0.0036097542124135084
1048576	0.0024663589827658657
2097152	0.0012259423498043724
4194304	0.0009271593615793052
