k	chi
0	0.0
1	0.9416500991950456
2	0.9416500991950456
4	0.8840921597985626
8	0.6596557938761205
16	0.47366069227227864
32	0.29674894866932006
64	0.20025743093822657
128	0.09341226018533964
256	0.0993397294906931
512	0.05316394693626645
1024	0.049239516637863044
2048	0.045717194028158825
4096	0.020304870475829597
8192	0.017900076175176523
16384	0.018536768236031047
32768	0.01114832200588153
65536	0.0071761637492669846
131072	0.005260652107771275
262144	0.0055118679819096735
524288	0.0021861182135156955
1048576	0.0014200247059058455
2097152	0.0014034922262495973
4194304	0.0010320361379597075
