k	chi
0	0.0
1	0.9998554622752637
2	0.9171566882962306
4	0.7237780508814091
8	0.5474104895824015
16	0.3789469302337984
32	0.3916629948437933
64	0.18027386322587563
128	0.1501928297604871
256	0.10860983257646772
512	0.06515988545849678
1024	0.06555937180294052
2048	0.05155717055329552
4096	0.036882152064236604
8192	0.023246287461850403
16384	0.007618457401170847
32768	0.007255332550283589
65536	0.01052204958801549
131072	0.008134835846407404
262144	0.004699807060321983
524288	0.0022543410844420753
1048576	0.0019402675991271035
2097152	0.0010771025663551246
4194304	0.0008705318193791009
