k	chi
0	0.0
1	0.8746120727547364
2	0.7489670936306051
4	0.7489670936306051
8	0.6860265235175196
16	0.6049919202488906
32	0.6072531408979422
64	0.2902204932830713
128	0.18594572652179572
256	0.11682315745494729
512	0.12162839598434996
1024	0.06541081932705793
2048	0.04297731488770588
4096	0.03778810343998958
8192	0.03513643936047014
16384	0.016366660696353577
32768	0.013000415712563817
65536	0.0090259998915825
131072	0.006549914585504747
262144	0.005096507349856506
524288	0.003832979033170472
1048576	0.0018555707845484897
2097152	0.0014277025838619409
4194304	0.001140472059601177
