k	chi
0	0.0
1	0.8801554896114469
2	0.8801554896114469
4	0.7715353031182619
8	0.6751426827195951
16	0.6194214609110369
32	0.5226986805593394
64	0.22896815261640308
128	0.08339552249921925
256	0.0549880349745254
512	0.07857183434220323
1024	0.05080455041116601
2048	0.033312976701261494
4096	0.025843953910064024
8192	0.012012484981610512
16384	0.013940158585809829
32768	0.012793325821898202
65536	0.008939147303465974
131072	0.006889540342403305
262144	0.004914671915392655
524288	0.0033961967572483983
1048576	0.0018785896898526788
2097152	0.0010860299851481404
4194304	0.00054839762561168
