k	chi
0	0.0
1	0.9998554622752637
2	0.9938174933096384
4	0.993793135526356
8	0.9712400431057926
16	0.6729630538823057
32	0.36815066709660743
64	0.3038863572900511
128	0.3797922297579223
256	0.27119072053949267
512	0.14526720973721463
1024	0.11520860990897643
2048	0.08903720513597278
4096	0.08591176635495686
8192	0.08758017323335081
16384	0.07980178677398646
32768	0.08480533536360932
65536	0.08647699096889411
131072	0.08784657538769675
262144	0.08945676980449542
524288	0.08911335313654592
1048576	0.08867536595502311
2097152	0.08844548111344291
4194304	0.0883308292407701
