k	chi
0	0.0
1	0.9876590263151198
2	0.9758913054016317
4	0.9481559002548631
8	0.9366164941106763
16	0.8868104083581217
32	0.7683684797806565
64	0.6180579654631267
128	0.5571653770212749
256	0.5123536989064821
512	0.3833782486429987
1024	0.25969959220303257
2048	0.1846251562046369
4096	0.11073458980421157
8192	0.1276481659503492
16384	0.10231752773036848
32768	0.06193779280649109
65536	0.048146508045219506
131072	0.02122482792733183
262144	0.01746009123845631
524288	0.010722150502293294
1048576	0.010038537844276132
2097152	0.007483430553769195
4194304	0.004468613729613868
