k	chi
0	0.0
1	0.8519717614044641
2	0.8519717614044641
4	0.7229888720258781
8	0.4474806855472115
16	0.4005793929972752
32	0.18911145046403113
64	0.14224765638932718
128	0.10460703113522937
256	0.09573861197555153
512	0.09303531326945082
1024	0.05928335347687092
2048	0.03223093356599692
4096	0.03030232128958131
8192	0.019220980539042767
16384	0.012860699759535478
32768	0.011425442605673984
65536	0.007954765046815733
131072	0.007513870789950721
262144	0.005090029981534368
524288	0.002464290060639402
1048576	0.001957704229374654
2097152	0.001539643185247351
4194304	0.0010954174970536886
